GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,HumidityAlertService,245,19,10,0,42,2,13,2,8,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,FertilizationService,106,283,5,5,11,43,10,6,5,6
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,OperationLogService,222,16,6,0,36,2,11,2,8,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,FarmService,245,184,26,10,48,38,21,9,5,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,EnergyConsumptionService,295,16,6,0,45,2,12,2,9,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,IrrigationEquipmentService,272,19,6,0,44,2,14,2,11,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,MaintenanceService,328,25,6,0,54,2,12,2,9,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,TaskService,205,19,4,0,38,2,10,2,8,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,PrecipitationService,170,255,3,5,22,44,13,8,10,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.riego,ReservoirTurnService,55,224,5,7,6,37,8,8,4,6
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.dashboard,AnalystDashboardService,2,174,1,1,0,38,1,7,0,7
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.dashboard,DashboardService,0,64,0,0,0,11,0,4,0,4
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.service.analytics,AnalyticsService,60,157,6,4,9,35,5,11,1,10
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.analytics,IrrigationTimeseriesDTO,155,15,30,0,4,2,25,2,10,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.analytics,IrrigationSectorSummaryDTO,191,21,38,0,4,3,30,3,11,3
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.dto.analytics,IrrigationRecordDTO,403,45,80,2,11,13,62,3,21,3
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.report,ReportController,149,299,21,8,33,55,19,9,4,8
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.config,SystemConfigController,72,6,0,0,12,1,12,1,12,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.weather,WeatherController,17,13,0,0,4,2,1,2,1,2
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.notification,NotificationController,42,6,0,0,10,1,5,1,5,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.exceptions,DeletionNotAllowedException,4,0,0,0,2,0,1,0,1,0
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.exceptions,ResourceNotFoundException,4,19,0,0,2,2,1,1,1,1
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.exceptions,GlobalExceptionHandler,66,112,0,0,18,30,3,6,3,6
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.controller.auth,AuthController,37,55,0,0,12,15,1,4,1,4
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,Sector,172,100,34,4,4,9,29,10,10,10
sistema-riego-goteo-api,com.sistemariegoagoteo.sistema_riego_goteo_api.model.riego,OperationLog,303,3,56,0,11,1,46,1,18,1
